gamma,cov_halflife,max_wt,mu_method,use_mpo,is_sharpe,oos_sharpe,oos_max_dd,oos_ann_ret,oos_ann_vol
10.0,42,0.5,ewma,True,2.259278665536369,7.3587465925727145,-0.07553664577626414,58.661235669824954,0.5747747793021638
10.0,42,0.5,ewma,False,2.3023316430791745,7.181732180738826,-0.07583741380084909,53.73358522011302,0.5769316830710205
10.0,42,0.4,ewma,True,2.259621446598493,7.141769419569513,-0.06297223386794042,42.96736811486981,0.5466397682276455
10.0,21,0.5,ewma,False,1.5385583660644155,7.131139209869978,-0.08956644049652544,132.65557484125705,0.7203140762682652
10.0,21,0.5,ewma,True,1.5347600797239436,7.116430170844909,-0.09137415076333753,134.74780176284202,0.7244640723964351
10.0,42,0.4,ewma,False,2.3023496446104845,7.044560554124628,-0.06277355774396498,40.46400270796363,0.5456914072005739
10.0,42,0.3,ewma,True,2.4370652419133423,7.003131348437235,-0.04943553036241316,31.49600198957266,0.5110881835599347
10.0,42,0.3,ewma,False,2.449916939633495,6.942130507876796,-0.05124828595729673,31.085676097283056,0.513952768415909
10.0,21,0.4,ewma,True,1.200409431829419,6.666062323786236,-0.08386491313630069,66.13990913246855,0.6595804834400549
10.0,21,0.4,ewma,False,1.2326349963631889,6.617118828753488,-0.08259612522718993,61.22105083742254,0.6520531912387507
10.0,21,0.3,ewma,False,1.678634137990563,6.3083535125193295,-0.06692393388826054,41.258221795606744,0.6184273586964479
10.0,21,0.3,ewma,True,1.6275545240519103,6.258775443816627,-0.06828213136537428,42.393003503352034,0.6285406656546717
10.0,10,0.5,ewma,False,1.355056324871441,6.123999511219624,-0.11190373247790385,370.89080939747583,1.0520983565723656
10.0,10,0.5,ewma,True,1.4165611107130989,6.10477088310754,-0.11282584100742715,367.08488107700475,1.0539851544976813
5.0,42,0.5,ewma,True,1.0380673131261497,5.9932909038347475,-0.12131592472137755,150.08842904609753,0.9012232549776743
5.0,21,0.5,ewma,True,1.4751836543919665,5.920138579413279,-0.0962746837978958,299.0357254506975,1.0515939032299246
5.0,21,0.5,ewma,False,1.4687168458228625,5.905740643391208,-0.09372658065212153,265.9459969051907,1.0306359996403796
5.0,42,0.5,ewma,False,1.0443623990468716,5.883436811967396,-0.12353487260931224,134.7292150002373,0.8993098537210797
10.0,10,0.4,ewma,False,1.6588174853087467,5.855935300889836,-0.0940882706394615,153.08907484510527,0.9276925525529
10.0,10,0.4,ewma,True,1.7937063762537915,5.824449448020551,-0.09689331003208415,144.87303758400566,0.9224212275494924
5.0,42,0.4,ewma,True,1.180881587177113,5.6563907354897145,-0.11174610088050509,83.01793981335055,0.8405002549007459
5.0,21,0.4,ewma,False,1.3048753208656223,5.571404964770854,-0.10625757899618807,185.09490920815495,1.025857335716898
10.0,42,0.5,momentum,True,-1.4230951317401157,5.5652406582777605,-0.1892147294204474,416.86135739569613,1.2128057351927628
10.0,42,0.5,momentum,False,-1.4352525219762158,5.565196504785058,-0.18947470944641343,416.8817934104954,1.212877989846706
5.0,21,0.4,ewma,True,1.3707440805507343,5.488223708256515,-0.10663188842874399,170.45229990464853,1.0262386085671065
5.0,42,0.4,ewma,False,1.144827244454243,5.431569449207668,-0.11868459530543611,72.53444044717801,0.8521699188363321
10.0,21,0.5,momentum,False,-0.15451731979985486,5.211483248915188,-0.19664260594087,307.3112255470381,1.2438403824316726
10.0,21,0.5,momentum,True,-0.12452513889165416,5.21100442860177,-0.19656403179892395,306.64654743383426,1.2434019497655515
10.0,10,0.3,ewma,False,1.1335413259173521,5.074489130163409,-0.09219346980631721,50.12459398517067,0.8349035472528868
10.0,10,0.3,ewma,True,1.101534215541434,5.057172692305959,-0.0920955741631497,49.69035811690085,0.8362506004237992
10.0,10,0.5,momentum,False,0.5710869800361783,4.948888642896874,-0.17882026944614365,258.9156691043337,1.2817201903338216
10.0,10,0.5,momentum,True,0.5891510620563308,4.948632738282873,-0.17845241204611317,258.13163506075904,1.2809547548078473
10.0,42,0.4,momentum,True,-0.8119071052922864,4.540237896605133,-0.20668398789451023,97.80724674740293,1.1501963510176227
10.0,21,0.4,momentum,True,0.42028252534101307,4.5344052484908595,-0.20594634515158977,81.0699684412101,1.0981226462359968
10.0,42,0.4,momentum,False,-0.8182948841540243,4.528879304077243,-0.20696725293971951,96.80643992245719,1.1510489775378419
10.0,21,0.4,momentum,False,0.4074169127013984,4.522491665768985,-0.20642523943775223,80.44005195812535,1.0996585686980362
5.0,21,0.3,ewma,False,1.3489655049779794,4.415534769200257,-0.13122999314352315,42.19953431793126,0.9428937551719302
5.0,42,0.3,ewma,True,1.4747908565938215,4.402128245489876,-0.14333911284796214,30.221681867870384,0.8560340604489017
5.0,21,0.3,ewma,True,1.392617102910278,4.383424190859662,-0.12964961293695795,40.35516314330593,0.9388335075307436
5.0,42,0.3,ewma,False,1.3435616831777546,4.382208802338241,-0.1445323081460112,30.05669842262238,0.8592905139152542
5.0,10,0.5,ewma,False,1.2953227206361488,4.351010858887982,-0.1597619013314235,99.91782504220923,1.2161129358289084
5.0,10,0.4,ewma,False,1.274634932667661,4.329222947608974,-0.13881732471011793,57.352175521865355,1.055088889012043
5.0,10,0.5,ewma,True,1.0905175647919314,4.290079157601669,-0.1699033637221867,93.21069539684534,1.2173280655431067
5.0,10,0.4,ewma,True,1.231383642598914,4.196780520689262,-0.15561859839315212,50.16322237897351,1.0569810028111164
10.0,10,0.4,momentum,True,0.9856315536259366,4.072284548175426,-0.18371715133929498,49.62305229054511,1.1006962651343293
10.0,10,0.4,momentum,False,1.0039656570914515,4.0532461474644155,-0.18410164405988003,48.776279606773805,1.1020137722024488
5.0,10,0.3,ewma,False,0.9394400212018387,3.94202708705663,-0.14145249441638783,24.996313823307666,0.9201240421766732
10.0,42,0.3,momentum,True,-0.1345624918099142,3.8523719132176564,-0.225319874447731,31.406152814021993,1.0348172619557117
10.0,42,0.3,momentum,False,-0.15665015911906907,3.8415400148874284,-0.22561351153005177,31.194488766421998,1.036489424268994
5.0,10,0.3,ewma,True,1.0012110380737596,3.815330016979161,-0.15015608618333331,21.977941975148532,0.9173700252828564
10.0,21,0.3,momentum,True,1.0262691269469328,3.7829174927514946,-0.20995197134697133,26.543867317819025,0.998682068801738
10.0,21,0.3,momentum,False,1.0136498520133659,3.7788841044599093,-0.21037028557564008,26.663664184273525,1.0016687983152275
1.0,42,0.3,momentum,False,-0.44322993631630137,3.126766628578617,-0.25211543404812486,20.90725299888921,1.207385560977513
1.0,21,0.3,momentum,False,-0.16466605184978186,3.1141348018676727,-0.25977850409509756,21.54691729540303,1.2320480701987027
1.0,42,0.3,momentum,True,-0.4105351599630605,3.0947356531482777,-0.25450568712895116,20.233175758535143,1.2116870165020153
1.0,21,0.3,momentum,True,-0.18003873177705745,3.0745725701733977,-0.26134008530145536,20.35472573353131,1.2295911808301576
1.0,10,0.3,momentum,False,-0.1565345356900252,2.9941476928862447,-0.2719379845012231,19.37000826080804,1.2613790085535344
2.0,10,0.3,momentum,False,0.0635296690246473,2.9148154489280858,-0.274416764013847,17.594445463433722,1.2677885441568881
10.0,10,0.3,momentum,True,1.2769510569135762,2.9087926357061358,-0.18439079770785155,10.935174385180277,1.0073688089041297
2.0,21,0.3,momentum,False,-0.5832992916956048,2.9042676934429323,-0.2754067847414908,17.321039890309713,1.2671355693030317
10.0,10,0.3,momentum,False,1.2846393213006966,2.8920676846933957,-0.18481284610161558,10.766837838858647,1.008723791271949
2.0,10,0.3,momentum,True,0.11004706325426918,2.890139551208357,-0.27441588384788895,16.805619732433897,1.260864793493304
1.0,10,0.3,momentum,True,-0.12139436259411916,2.88684719914839,-0.2730747749869635,16.29162732803259,1.2451160930982765
2.0,21,0.3,momentum,True,-0.5694707478117245,2.8731943863265363,-0.2754142223221321,16.333085040423953,1.2577400984963263
2.0,42,0.3,momentum,True,-0.5831524035291991,2.8724048788551366,-0.27731785527925884,16.24412743137941,1.2553838622327007
2.0,42,0.3,momentum,False,-0.5790449273851285,2.8722770048391495,-0.2773128588841914,16.24695066348252,1.2555735255268548
5.0,42,0.3,momentum,True,-0.05456097998336763,2.7894820062811876,-0.2739676144155953,13.065945886872226,1.1933832936844995
2.0,42,0.3,ewma,True,-0.27448875389190835,2.7857156687273714,-0.25130705705637923,12.358498062357334,1.1640409447578846
5.0,42,0.4,momentum,True,-0.19435820883539015,2.7848774763908137,-0.35927012515484663,19.136938243333873,1.4884955327528904
5.0,42,0.4,momentum,False,-0.18783628608521583,2.7788972768749742,-0.3592636448907947,18.944757331057446,1.4879585487674991
5.0,42,0.3,momentum,False,-0.07247309681299481,2.7718096619583603,-0.27396242233950296,12.814869423423698,1.195158005371989
2.0,42,0.3,ewma,False,-0.235385572061358,2.758798910821628,-0.24849625665456293,11.847437281289459,1.1589568744811036
1.0,42,0.3,ewma,False,-0.852791127430706,2.697371549007484,-0.2555401615964851,11.433182909143744,1.1844054228716814
1.0,42,0.3,ewma,True,-0.8549913565423631,2.6473459271708664,-0.25501381156655556,10.675814021421086,1.1815977204867916
2.0,10,0.5,ewma,True,0.4127673741969572,2.577971402864409,-0.37889777402503955,14.763006481665307,1.5072143152916775
2.0,42,0.4,ewma,False,0.5864988045801475,2.5648768000309228,-0.33674168228511986,12.29318312323707,1.4122127108300002
2.0,10,0.5,ewma,False,0.497211708025671,2.5484872027192815,-0.3822656013952458,14.124422385865348,1.5128283038617558
1.0,21,0.3,ewma,False,-0.22795728285070124,2.5067297028740256,-0.26100548406743984,8.98987438693403,1.1874896075622863
2.0,42,0.4,ewma,True,0.6875563519482912,2.4883400635469872,-0.33957979593729515,10.849138797593396,1.4066049722379002
1.0,10,0.3,ewma,False,-0.03111384774288866,2.486124819852999,-0.26913561803518304,8.926707782840476,1.199982219741745
5.0,10,0.3,momentum,True,0.5243505074782382,2.4827555841342646,-0.27306823804352154,9.037252453148582,1.2122681384925222
1.0,10,0.3,ewma,True,-0.13539894529234703,2.4760517653953698,-0.2677554543097726,8.792321370473653,1.1987535786245622
1.0,21,0.3,ewma,True,-0.21799885699847882,2.4745093755262615,-0.2584496893414469,8.561505827687146,1.1831988791375987
5.0,10,0.3,momentum,False,0.49972920462625225,2.473916465294471,-0.27306536851215907,8.915098143180426,1.2111191576390001
2.0,21,0.5,ewma,False,1.6473756624431126,2.463746790093418,-0.41599864486887234,13.001726417701805,1.6833564841301667
2.0,21,0.4,ewma,False,1.118452563195864,2.406687961505783,-0.34378835252398604,10.157995948205617,1.4506093734798875
2.0,21,0.5,ewma,True,1.6289008912480523,2.3685795331107053,-0.4219284824483682,11.031167074253332,1.6817714734329487
2.0,21,0.3,ewma,False,0.20498999434226212,2.3599027319403043,-0.2575281818334371,7.136805070784932,1.1584935695668737
2.0,21,0.4,ewma,True,1.1253878191706441,2.353809236254664,-0.34692710053471043,9.38010966727741,1.4545320954515792
5.0,21,0.3,momentum,False,0.556746303627107,2.352710420816296,-0.27336893260297684,7.139009421241671,1.1698588686211135
5.0,21,0.3,momentum,True,0.7397212680733017,2.3376591166664964,-0.27336983777929685,6.9496142187346255,1.1651841963364642
